,0,1
124,124,"{'size': 984, 'units': 'sqft'}"
125,125,"{'size': 413, 'units': 'sqft'}"
126,126,"{'size': 3680, 'units': 'sqft'}"
127,127,"{'size': 5390, 'units': 'sqft'}"
128,128,"{'size': 916, 'units': 'sqft'}"
129,129,"{'size': 1134, 'units': 'sqft'}"
130,130,"{'size': 819, 'units': 'sqft'}"
131,131,"{'size': 1652, 'units': 'sqft'}"
132,132,"{'size': 1194, 'units': 'sqft'}"
133,133,"{'size': 2148, 'units': 'sqft'}"
134,134,"{'size': 1144, 'units': 'sqft'}"
135,135,"{'size': 1350, 'units': 'sqft'}"
136,136,"{'size': 510, 'units': 'sqft'}"
137,137,"{'size': 930, 'units': 'sqft'}"
138,138,"{'size': 1269, 'units': 'sqft'}"
139,139,"{'size': 2387, 'units': 'sqft'}"
140,140,"{'size': 720, 'units': 'sqft'}"
141,141,"{'size': 2482, 'units': 'sqft'}"
142,142,"{'size': 2400, 'units': 'sqft'}"
143,143,"{'size': 946, 'units': 'sqft'}"
144,144,"{'size': 1604, 'units': 'sqft'}"
145,145,"{'size': 749, 'units': 'sqft'}"
146,146,"{'size': 2630, 'units': 'sqft'}"
147,147,"{'size': 1416, 'units': 'sqft'}"
148,148,"{'size': 800, 'units': 'sqft'}"
149,149,"{'size': 2830, 'units': 'sqft'}"
150,150,"{'size': 593, 'units': 'sqft'}"
151,151,"{'size': 2727, 'units': 'sqft'}"
152,152,"{'size': 772, 'units': 'sqft'}"
153,153,"{'size': 785, 'units': 'sqft'}"
154,154,"{'size': 1500, 'units': 'sqft'}"
155,155,"{'size': 1584, 'units': 'sqft'}"
156,156,"{'size': 1223, 'units': 'sqft'}"
157,157,"{'size': 2276, 'units': 'sqft'}"
158,158,"{'size': 3841, 'units': 'sqft'}"
159,159,"{'size': 2160, 'units': 'sqft'}"
160,160,"{'size': 1062, 'units': 'sqft'}"
161,161,"{'size': 1232, 'units': 'sqft'}"
162,162,"{'size': 850, 'units': 'sqft'}"
163,163,"{'size': 3504, 'units': 'sqft'}"
164,164,"{'size': 753, 'units': 'sqft'}"
165,165,"{'size': 1200, 'units': 'sqft'}"
166,166,"{'size': 875, 'units': 'sqft'}"
167,167,"{'size': 2788, 'units': 'sqft'}"
168,168,"{'size': 1846, 'units': 'sqft'}"
169,169,"{'size': 959, 'units': 'sqft'}"
170,170,"{'size': 1918, 'units': 'sqft'}"
171,171,"{'size': 2847, 'units': 'sqft'}"
172,172,"{'size': 2432, 'units': 'sqft'}"
173,173,"{'size': 2923, 'units': 'sqft'}"
174,174,"{'size': 1917, 'units': 'sqft'}"
175,175,"{'size': 1480, 'units': 'sqft'}"
176,176,"{'size': 1025, 'units': 'sqft'}"
177,177,"{'size': 3625, 'units': 'sqft'}"
178,178,"{'size': 835, 'units': 'sqft'}"
179,179,"{'size': 2292, 'units': 'sqft'}"
180,180,"{'size': 931, 'units': 'sqft'}"
181,181,"{'size': 1315, 'units': 'sqft'}"
182,182,"{'size': 1580, 'units': 'sqft'}"
183,183,"{'size': 2869, 'units': 'sqft'}"
184,184,"{'size': 1374, 'units': 'sqft'}"
