SizeinSqFt
 1846
 3137
 2561
 2622
 825
 1600
 1963
 2688
 1450
 1844
 662
 2250
 1544
 2044
 2296
 6185
 585
 1824
 643
 2461
 2546
 2146
 1820
 2288
 560
 1513
 2309
 1437
 1443
 3200
 614
 1772
 603
 1060
 2400
 835
 1924
 1040
 3220
 2565
 804
 862
 2858
 1534
 1846
 2358
 1352
 638
 698
 1578
 1123
 1276
 660
 916
 984
 413
 1134
 819
 3680
 5390
 1194
 1652
 2624
 720
 2387
 2400
 2482
 1269
 930
 593
 800
 1604
 749
 2630
 1416
 1223
 1500
 785
 2830
 2276
 772
 1062
 1232
 753
 850
 3504
 875
 2788
 1846
 1200
 1025
 3625
 835
 959
 1918
 2847
 2432
 2923
 1917
 2292
 1480
 1315
 1580
 931
 2869
 1374
 1468
 2262
 948
 3822
 1440
 1148
 1110
 1170
 1328
 2728
 1360
 2280
 1684
 1122
 1056
 729
 2184
 1890
 1724
 1260
 3900
 1780
 1008
 641
 1922
 3625
 2825
 568
 1160
 2928
0
 715
 2843
 1150
 915
 1920
 1240
 1952
 1540
 2093
 1118
 760
 581
 1115
 1940
 2262
 695
 8485
 1212
 2508
 954
 2085
 1404
 2124
 2655
 2226
 840
0
 1710
 888
 814
0
 637
 2064
0
 727
 2896
 1139
 558
 2760
 2569
 1601
 860
 2677
 739
 1588
 1336
 1037
 1008
 1504
 1621
 953
 4887
 3305
 1490
 739
 1576
 1280
 751
 676
 1248
 479
 2100
